58672f161bdbe31526fd8384909d4aa22b8fd91da8fce113ea083fbd6022e73e

#define Tiles
0|Assets/Tiles/SimpleWalls.png
1|Assets/Tiles/CastleWall.png
2|Assets/Tiles/Paintings.png
3|Assets/Tiles/WallsWithWindow.png
4|Assets/Tiles/TopWalls.png
5|Assets/Tiles/CastleGround.png
6|Assets/Tiles/Carpet.png
7|Assets/Tiles/black.png

#define Room
3:4:1 1:1:1 1:1:1 1:1:1 1:1:1 1:1:1 13:1:1 0:5:3 12:1:1 1:1:1 1:1:1 1:1:1 1:1:1 1:1:1 4:4:1
2:4:1 0:0:1 7:1:1 2:2:1 3:2:1 7:1:1 7:0:1 0:5:4 0:0:1 7:1:1 10:2:1 11:2:1 7:1:1 0:0:1 2:4:1
2:4:1 0:0:1 0:0:1 6:2:1 7:2:1 0:0:1 0:0:1 0:5:0 0:0:1 3:0:1 14:2:1 15:2:1 0:0:1 4:0:1 2:4:1
2:4:1 0:5:0 0:5:0 0:5:0 0:5:0 0:5:0 0:5:0 0:5:0 0:5:0 0:5:0 0:5:0 0:5:0 0:5:0 0:5:0 2:4:1
5:4:1 1:4:0 4:4:0 0:5:0 0:5:0 0:5:0 8:1:0 1:1:0 9:1:0 0:5:0 0:5:0 0:5:0 3:4:0 1:4:0 6:4:1
0:0:1 3:0:0 2:4:0 0:5:0 0:5:0 0:5:0 5:1:0 0:7:0 5:1:0 0:5:0 0:5:0 0:5:0 2:4:0 7:0:0 0:0:1
3:4:1 1:4:0 6:4:0 0:5:0 0:5:0 0:5:0 12:1:0 1:1:0 13:1:0 0:5:0 0:5:0 0:5:0 5:4:0 1:4:0 4:4:1
2:4:1 8:2:0 9:2:0 0:5:0 0:5:0 0:5:0 7:1:0 0:0:0 7:1:0 0:5:0 0:5:0 0:5:0 0:2:0 9:2:0 2:4:1
2:4:1 12:2:0 13:2:0 0:5:0 0:5:0 0:5:0 0:0:0 5:0:0 0:0:0 0:5:0 0:5:0 0:5:0 12:2:0 13:2:0 2:4:1
2:4:1 0:5:0 0:5:0 0:5:0 0:5:0 0:5:0 0:5:0 0:5:0 0:5:0 0:5:0 0:5:0 0:5:0 0:5:0 0:5:0 2:4:1
2:4:1 0:5:0 0:5:0 0:5:0 0:5:0 0:5:0 0:5:0 0:5:0 0:5:0 0:5:0 0:5:0 0:5:0 0:5:0 0:5:0 2:4:1
2:4:1 0:5:0 0:5:0 0:5:0 0:5:0 0:5:0 0:5:0 0:5:0 0:5:0 0:5:0 0:5:0 0:5:0 0:5:0 0:5:0 2:4:1
5:4:1 1:4:1 1:4:1 1:4:1 1:4:1 1:4:1 9:1:1 0:5:0 8:1:1 1:4:1 1:4:1 1:4:1 1:4:1 1:4:1 6:4:1
0:0:1 6:1:1 0:0:1 0:0:1 0:0:1 4:0:1 5:1:1 0:5:4 5:1:1 0:0:1 5:0:1 0:0:1 2:0:1 0:0:1 0:0:1
0:0:1 0:0:1 0:0:1 6:0:1 0:0:1 0:0:1 5:1:1 0:5:3 5:1:1 0:0:1 0:0:1 0:0:1 0:0:1 7:0:1 0:0:1
